Label,WFH Average,Male,Female,< $35k,$35K-$100K,> $100K,Under Bachelor,Bachelor,Graduate
Pre-pandemic,44,41,59,10,37,53,17,37,46
Wave 1,68,41,59,8,41,51,15,38,47
Wave 2,64,41,59,8,40,52,14,40,46
Post-pandemic(expected),56,41,59,11,40,49,17,39,44
